Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T20:23:21.174Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.90"",""3589.80"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:21.686Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""3.20"",""3772.70"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:22.199Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.50"",""3898.20"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:22.709Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.50"",""4079.40"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:23.227Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""3.40"",""4241.20"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:23.848Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""4.50"",""4559.30"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:24.965Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""3.00"",""5294.80"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:25.431Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""2.60"",""5433.80"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:26.029Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""3.40"",""5687.90"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:27.013Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""3.60"",""6310.30"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:27.795Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""2.70"",""6771.80"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:28.446Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288206"",""-79.213164"",""105.00"",""2.90"",""7129.00"",""29.70"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:24:34.060Z,""E7"",""Wi-Fi"",""Sí"",""Fuera"",""-0.288209"",""-79.213171"",""107.00"",""3.30"",""562.30"",""29.18"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:24:34.666Z,""E7"",""Wi-Fi"",""Sí"",""Fuera"",""-0.288209"",""-79.213171"",""107.00"",""4.30"",""832.10"",""29.18"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:24:35.324Z,""E7"",""Wi-Fi"",""Sí"",""Fuera"",""-0.288209"",""-79.213171"",""107.00"",""2.80"",""1149.70"",""29.18"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:24:35.885Z,""E7"",""Wi-Fi"",""Sí"",""Fuera"",""-0.288209"",""-79.213171"",""107.00"",""2.60"",""1314.50"",""29.18"",""10"",""Rechazada"",""Sí"","""""
